N,P,K,Soil_pH,Soil_Moisture,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Altitude,Fertilizer_Used,Pesticide_Used,Crop_Yield_ton_per_hectare,Normalize_Rainfall_by_Windspeed,Soil_Type_Loamy,Soil_Type_Sandy,Soil_Type_Silt,Region_East,Region_North,Region_South,Region_West,Season_Rabi,Season_Zaid,Crop_Type_Maize,Crop_Type_Potato,Crop_Type_Rice,Crop_Type_Sugarcane,Crop_Type_Wheat,Irrigation_Type_Drip,Irrigation_Type_Rainfed,Irrigation_Type_Sprinkler,SOC_Binned_0.5,SOC_Binned_1.0,SOC_Binned_1.5,Soil_Moisture_Binned_20,Soil_Moisture_Binned_40,Soil_Moisture_Binned_60
132,62,22,6.35,59.78,0.43,22.97,53.89,1305.68,7.73,15.96,36,223.48,23.36,11.42,81.80952380952381,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
122,71,66,5.98,25.54,0.65,17.0,76.9,1942.05,9.25,12.6,1561,161.54,4.42,23.19,154.13095238095238,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
44,35,104,8.07,25.87,0.79,25.52,44.78,2216.2,8.5,15.63,1870,184.62,6.29,7.94,141.7914267434421,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
136,96,113,4.83,42.97,0.45,18.59,31.89,607.18,8.75,5.49,765,274.02,2.72,72.53,110.5974499089253,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
101,34,42,5.84,48.01,0.69,22.74,46.27,483.47,8.0,7.44,1143,72.69,15.37,6.72,64.98252688172043,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
50,29,22,6.87,32.73,1.2,13.88,68.91,1993.65,10.17,11.25,1739,335.8,3.8,8.67,177.21333333333334,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
132,83,148,7.46,40.98,0.92,14.92,87.21,2433.33,10.28,13.82,1360,301.54,2.84,26.96,176.07308248914615,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
151,91,86,7.58,26.39,0.85,28.42,53.74,1499.4,8.24,17.7,1348,317.16,19.71,9.51,84.71186440677967,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
104,65,90,4.96,21.8,0.86,26.96,77.85,1881.33,9.12,2.16,54,253.49,17.82,7.01,870.986111111111,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
117,90,86,7.21,26.91,1.29,15.14,42.03,1045.25,7.24,10.21,57,231.33,21.83,75.1,102.37512242899118,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
