N,P,K,Soil_pH,Soil_Moisture,Soil_Type,Organic_Carbon,Temperature,Humidity,Rainfall,Sunlight_Hours,Wind_Speed,Region,Altitude,Season,Crop_Type,Irrigation_Type,Fertilizer_Used,Pesticide_Used,Crop_Yield_ton_per_hectare
132,62,22,6.35,59.78,Clay,0.43,22.97,53.89,1305.68,7.73,15.96,Central,36,Rabi,Maize,Canal,223.48,23.36,11.42
122,71,66,5.98,25.54,Sandy,0.65,17.0,76.9,1942.05,9.25,12.6,North,1561,Rabi,Potato,Canal,161.54,4.42,23.19
44,35,104,8.07,25.87,Sandy,0.79,25.52,44.78,2216.2,8.5,15.63,North,1870,Rabi,Rice,Rainfed,184.62,6.29,7.94
136,96,113,4.83,42.97,Silt,0.45,18.59,31.89,607.18,8.75,5.49,East,765,Kharif,Sugarcane,Rainfed,274.02,2.72,72.53
101,34,42,5.84,48.01,Silt,0.69,22.74,46.27,483.47,8.0,7.44,Central,1143,Zaid,Wheat,Rainfed,72.69,15.37,6.72
50,29,22,6.87,32.73,Silt,1.2,13.88,68.91,1993.65,10.17,11.25,East,1739,Kharif,Rice,Canal,335.8,3.8,8.67
132,83,148,7.46,40.98,Silt,0.92,14.92,87.21,2433.33,10.28,13.82,East,1360,Rabi,Potato,Canal,301.54,2.84,26.96
151,91,86,7.58,26.39,Sandy,0.85,28.42,53.74,1499.4,8.24,17.7,North,1348,Kharif,Rice,Rainfed,317.16,19.71,9.51
104,65,90,4.96,21.8,Silt,0.86,26.96,77.85,1881.33,9.12,2.16,East,54,Rabi,Cotton,Sprinkler,253.49,17.82,7.01
117,90,86,7.21,26.91,Clay,1.29,15.14,42.03,1045.25,7.24,10.21,North,57,Rabi,Sugarcane,Sprinkler,231.33,21.83,75.1
146,76,74,7.25,60.82,Loamy,1.59,18.84,81.11,2486.29,5.89,10.32,North,744,Zaid,Cotton,Rainfed,159.4,14.14,7.54
129,99,50,5.53,55.09,Clay,1.07,16.64,75.93,2228.76,8.45,16.4,North,267,Kharif,Maize,Canal,147.2,6.43,8.02
133,51,85,5.18,22.01,Loamy,1.28,33.92,56.89,1767.96,9.71,5.01,West,1474,Zaid,Maize,Sprinkler,85.79,18.41,7.09
160,20,120,7.35,17.33,Sandy,0.78,20.94,83.69,1066.5,5.84,3.71,North,34,Zaid,Potato,Rainfed,69.79,11.88,23.0
179,85,83,5.65,19.66,Loamy,1.42,22.18,32.27,1395.15,8.38,9.2,Central,1878,Kharif,Potato,Rainfed,75.71,11.95,25.45
82,40,50,4.81,29.67,Silt,0.85,29.95,77.15,998.65,8.36,13.34,South,255,Zaid,Wheat,Canal,111.93,4.82,6.89
31,22,136,5.56,55.57,Sandy,1.52,19.77,32.11,1378.81,10.43,17.52,East,1550,Zaid,Potato,Drip,106.97,18.8,21.58
117,87,85,4.91,31.07,Silt,1.27,21.33,81.9,424.46,9.31,10.72,Central,1582,Zaid,Maize,Drip,287.75,21.63,8.81
67,18,66,5.65,24.28,Clay,1.22,33.94,40.61,564.12,9.68,13.33,North,1304,Zaid,Rice,Sprinkler,90.49,10.42,5.55
159,35,41,5.94,34.79,Clay,0.68,33.84,32.3,843.05,8.0,5.73,Central,1132,Zaid,Cotton,Rainfed,282.08,5.22,8.71
50,45,113,5.72,21.2,Silt,1.33,28.14,48.53,2559.99,9.09,12.5,Central,752,Rabi,Rice,Canal,187.62,3.49,7.7
87,35,102,7.93,38.51,Loamy,0.44,26.77,40.72,1463.51,5.71,5.12,Central,130,Rabi,Rice,Canal,338.35,3.1,9.21
51,39,65,5.59,48.78,Clay,1.0,15.43,69.11,1501.43,8.06,9.42,West,1681,Zaid,Sugarcane,Canal,235.21,8.19,75.13
118,29,108,6.39,33.44,Loamy,1.26,24.2,58.34,1621.79,8.64,1.79,South,1145,Kharif,Potato,Rainfed,221.81,19.81,26.69
78,49,138,8.06,23.68,Clay,1.45,18.23,37.78,1550.47,9.84,6.5,West,1760,Rabi,Wheat,Rainfed,246.43,22.92,8.19
88,63,65,7.79,37.66,Silt,1.04,31.89,84.97,515.52,5.16,14.29,North,1585,Zaid,Potato,Rainfed,203.21,20.04,24.9
44,57,20,5.85,53.12,Silt,0.64,28.84,52.07,1108.74,6.29,2.15,Central,1601,Kharif,Sugarcane,Rainfed,225.57,9.48,73.6
80,55,115,5.91,18.83,Clay,1.4,21.33,46.97,468.7,9.54,6.41,South,1703,Kharif,Potato,Sprinkler,264.76,15.87,24.25
137,51,80,6.82,18.55,Clay,1.3,26.05,71.88,474.07,7.04,3.9,Central,2022,Zaid,Sugarcane,Sprinkler,304.68,3.39,75.45
84,71,124,7.92,30.91,Loamy,0.5,22.63,53.61,493.05,7.39,11.67,North,1022,Kharif,Maize,Canal,327.35,18.9,10.23
93,56,100,4.83,35.75,Loamy,1.43,14.39,38.73,2543.59,8.34,13.64,East,231,Zaid,Maize,Canal,259.6,16.69,8.44
160,61,33,6.14,25.82,Loamy,1.55,33.42,64.94,847.42,9.09,2.87,East,523,Kharif,Sugarcane,Rainfed,326.09,11.65,75.78
80,75,64,7.69,16.35,Silt,1.0,36.95,31.82,468.3,6.02,9.89,South,255,Rabi,Wheat,Canal,217.8,18.89,5.64
164,28,96,6.2,25.98,Clay,0.35,37.91,67.63,307.14,10.05,12.58,Central,1412,Zaid,Sugarcane,Drip,128.45,17.69,73.16
50,82,85,7.25,36.77,Sandy,1.49,33.68,82.05,1833.16,6.55,17.83,Central,278,Kharif,Potato,Canal,158.23,22.49,23.21
102,67,51,7.15,18.97,Loamy,0.46,34.65,45.72,1842.44,5.83,4.7,Central,2006,Zaid,Rice,Sprinkler,310.38,12.33,10.28
47,98,115,5.5,50.79,Sandy,1.12,11.67,81.14,962.35,8.9,2.25,East,390,Zaid,Wheat,Sprinkler,246.68,20.34,8.99
161,48,77,6.33,42.61,Silt,0.82,33.46,44.7,1000.17,6.52,5.38,West,1489,Rabi,Rice,Rainfed,140.83,15.47,9.48
118,90,123,6.73,36.72,Loamy,1.59,19.1,42.15,1145.48,7.54,10.53,East,1590,Kharif,Wheat,Canal,227.45,17.76,10.53
89,38,75,7.23,40.94,Loamy,1.49,14.13,72.92,1185.24,6.31,11.76,Central,1490,Zaid,Potato,Drip,252.56,3.69,22.95
